Day,numGames,numSessions,DayNum,hasGame
4/19/13,0,1173,513,FALSE
3/6/12,0,739,105,FALSE
10/24/14,0,5001,1066,FALSE
9/17/12,1,4386,299,TRUE
9/29/13,13,3770,676,TRUE
12/29/15,0,9792,1497,FALSE
11/4/14,0,4619,1077,FALSE
7/8/15,0,2272,1323,FALSE
12/18/15,0,6533,1486,FALSE
10/5/15,1,6815,1412,TRUE
4/23/14,0,1878,882,FALSE
12/30/14,0,7412,1133,FALSE
3/15/13,0,1590,478,FALSE
12/3/15,1,5627,1471,TRUE
6/20/12,0,712,210,FALSE
4/29/16,0,2213,1619,FALSE
12/21/12,0,3050,394,FALSE
4/16/14,0,2096,875,FALSE
7/5/12,0,597,225,FALSE
11/7/13,1,2410,715,TRUE
7/26/15,0,2315,1341,FALSE
12/14/11,0,1692,26,FALSE
1/30/12,0,1590,70,FALSE
11/28/12,0,2393,371,FALSE
3/15/16,0,3509,1574,FALSE
1/6/15,0,5274,1140,FALSE
5/22/16,0,1717,1642,FALSE
1/26/15,0,4852,1160,FALSE
1/7/13,0,2951,411,FALSE
5/11/15,0,2201,1265,FALSE
2/5/15,0,4508,1170,FALSE
2/28/16,0,5976,1558,FALSE
3/8/12,0,845,107,FALSE
12/11/12,0,2608,384,FALSE
7/14/14,0,1733,964,FALSE
5/22/12,0,644,181,FALSE
4/27/15,0,2298,1251,FALSE
5/24/12,0,604,183,FALSE
3/16/13,0,1859,479,FALSE
6/26/14,0,1709,946,FALSE
6/30/14,0,1589,950,FALSE
5/19/12,0,603,178,FALSE
3/13/12,0,924,112,FALSE
2/5/14,0,4019,805,FALSE
2/17/15,0,4836,1182,FALSE
10/31/15,0,8424,1438,FALSE
8/3/13,0,1166,619,FALSE
12/16/13,1,3393,754,TRUE
9/6/13,0,3873,653,FALSE
7/31/12,0,721,251,FALSE
11/30/13,0,3874,738,FALSE
11/23/12,0,2787,366,FALSE
9/15/12,0,5403,297,FALSE
10/20/14,1,4844,1062,TRUE
7/30/15,0,2280,1345,FALSE
6/4/15,0,2096,1289,FALSE
4/5/13,0,1302,499,FALSE
2/18/13,0,2111,453,FALSE
6/13/13,0,1136,568,FALSE
6/22/14,0,1797,942,FALSE
12/6/14,0,5956,1109,FALSE
12/26/11,1,2383,38,TRUE
1/8/13,0,2629,412,FALSE
4/5/15,0,3301,1229,FALSE
5/19/13,0,1265,543,FALSE
8/23/13,0,1133,639,FALSE
12/26/13,0,5619,764,FALSE
1/9/16,0,8990,1508,FALSE
2/3/13,0,3210,438,FALSE
3/9/16,0,3736,1568,FALSE
5/31/14,0,2055,920,FALSE
1/5/14,0,5046,774,FALSE
4/22/16,0,2617,1612,FALSE
3/30/14,0,2863,858,FALSE
6/9/12,0,641,199,FALSE
7/2/14,0,1635,952,FALSE
4/25/14,0,1889,884,FALSE
8/24/12,0,702,275,FALSE
4/11/16,0,2620,1601,FALSE
2/13/12,0,1429,84,FALSE
8/15/14,0,2171,996,FALSE
9/18/15,0,8390,1395,FALSE
9/6/15,0,14264,1383,FALSE
3/2/13,0,2073,465,FALSE
3/16/16,0,3550,1575,FALSE
5/15/12,0,681,174,FALSE
9/26/12,0,4397,308,FALSE
11/8/14,0,5974,1081,FALSE
9/27/12,1,4042,309,TRUE
4/18/13,0,1132,512,FALSE
3/21/12,0,893,120,FALSE
4/15/16,0,2642,1605,FALSE
10/11/12,1,3307,323,TRUE
2/9/14,0,4606,809,FALSE
12/20/14,2,6704,1123,TRUE
4/2/13,0,1290,496,FALSE
12/6/15,14,7271,1474,TRUE
12/30/12,16,3615,403,TRUE
7/27/12,0,631,247,FALSE
10/31/12,0,2650,343,FALSE
10/8/12,1,3798,320,TRUE
8/12/12,0,763,263,FALSE
5/13/15,0,2125,1267,FALSE
5/20/13,0,1030,544,FALSE
5/26/13,0,1300,550,FALSE
10/20/13,13,3433,697,TRUE
6/8/12,0,675,198,FALSE
9/2/14,0,9634,1014,FALSE
12/2/12,14,3026,375,TRUE
11/3/15,0,6486,1441,FALSE
12/22/14,1,6644,1125,TRUE
8/18/13,0,1260,634,FALSE
6/26/15,0,2359,1311,FALSE
7/7/15,0,2183,1322,FALSE
7/23/13,0,968,608,FALSE
6/29/14,0,1722,949,FALSE
10/22/12,1,3089,334,TRUE
3/27/12,0,815,126,FALSE
12/28/12,0,3772,401,FALSE
11/9/14,11,5735,1082,TRUE
6/19/14,0,1665,939,FALSE
10/4/12,1,3448,316,TRUE
1/1/13,0,3849,405,FALSE
7/19/14,0,1812,969,FALSE
2/7/14,0,3431,807,FALSE
1/16/15,0,5499,1150,FALSE
10/21/13,1,2789,698,TRUE
2/4/14,0,3688,804,FALSE
8/11/14,0,2103,992,FALSE
2/7/13,0,2227,442,FALSE
5/16/12,0,643,175,FALSE
11/11/13,1,2664,719,TRUE
7/13/13,0,1027,598,FALSE
6/26/12,0,695,216,FALSE
9/3/12,0,7435,285,FALSE
9/18/12,0,4362,300,FALSE
12/7/11,0,1555,19,FALSE
2/10/14,0,3662,810,FALSE
1/27/14,0,3915,796,FALSE
4/28/16,0,1713,1618,FALSE
8/28/12,0,3905,279,FALSE
1/3/12,0,2084,46,FALSE
6/18/14,0,1563,938,FALSE
6/1/14,0,1990,921,FALSE
10/21/14,0,4568,1063,FALSE
11/28/14,0,6106,1101,FALSE
2/6/15,0,4931,1171,FALSE
6/30/13,0,987,585,FALSE
7/15/13,0,931,600,FALSE
3/20/14,0,2237,848,FALSE
7/9/15,0,2156,1324,FALSE
4/1/13,0,1295,495,FALSE
4/27/14,0,2401,886,FALSE
8/25/14,0,2385,1006,FALSE
10/15/14,0,4990,1057,FALSE
10/29/12,1,3590,341,TRUE
12/10/14,0,4578,1113,FALSE
3/22/16,0,3353,1581,FALSE
5/16/15,0,2907,1270,FALSE
3/30/16,0,3210,1589,FALSE
5/16/13,0,1004,540,FALSE
1/1/14,0,5309,770,FALSE
10/14/14,0,4838,1056,FALSE
12/23/15,0,8552,1491,FALSE
5/25/14,0,2038,914,FALSE
12/16/15,0,5862,1484,FALSE
9/14/14,14,8710,1026,TRUE
10/27/13,11,3414,704,TRUE
10/10/12,0,3229,322,FALSE
1/19/16,0,6755,1518,FALSE
10/5/12,0,3456,317,FALSE
12/16/14,0,4461,1119,FALSE
2/12/16,0,6375,1542,FALSE
1/26/16,0,6343,1525,FALSE
5/6/12,0,868,166,FALSE
4/9/16,0,3907,1599,FALSE
1/9/15,0,5381,1143,FALSE
6/6/16,0,1206,1657,FALSE
5/28/14,0,1670,917,FALSE
4/25/13,0,1022,519,FALSE
10/2/15,0,6823,1409,FALSE
4/26/16,0,1270,1616,FALSE
9/16/15,0,9148,1393,FALSE
6/16/15,0,2236,1301,FALSE
10/28/15,0,6721,1435,FALSE
11/29/15,12,7876,1467,TRUE
5/14/14,0,1825,903,FALSE
6/19/13,0,922,574,FALSE
4/19/15,0,2905,1243,FALSE
3/21/14,0,2334,849,FALSE
6/16/14,0,1661,936,FALSE
12/4/12,0,2330,377,FALSE
8/31/14,0,12002,1012,FALSE
9/3/15,0,11833,1380,FALSE
8/4/13,0,1105,620,FALSE
9/19/15,0,11274,1396,FALSE
8/2/13,0,1108,618,FALSE
8/3/12,0,665,254,FALSE
3/13/14,0,2435,841,FALSE
2/20/15,0,4308,1185,FALSE
6/20/15,0,2578,1305,FALSE
7/4/14,0,1809,954,FALSE
3/12/16,0,5428,1571,FALSE
4/27/16,0,1295,1617,FALSE
9/24/12,1,3837,306,TRUE
7/7/13,0,978,592,FALSE
1/1/16,0,7955,1500,FALSE
1/7/12,0,2410,50,FALSE
7/10/13,0,976,595,FALSE
1/2/13,0,3603,406,FALSE
7/28/12,0,605,248,FALSE
4/15/15,0,2178,1239,FALSE
2/28/14,0,2681,828,FALSE
6/5/12,0,501,195,FALSE
8/24/15,0,2371,1370,FALSE
3/23/13,0,1692,486,FALSE
6/17/15,0,2185,1302,FALSE
7/6/13,0,1020,591,FALSE
1/2/15,0,6622,1136,FALSE
12/17/14,0,4767,1120,FALSE
1/17/15,0,6889,1151,FALSE
8/8/14,0,1862,989,FALSE
2/8/12,0,1429,79,FALSE
10/14/15,0,6673,1421,FALSE
11/21/15,0,8153,1459,FALSE
2/15/15,0,5613,1180,FALSE
9/9/13,1,3885,656,TRUE
8/4/12,0,650,255,FALSE
8/18/14,0,2345,999,FALSE
2/9/15,0,4888,1174,FALSE
2/2/15,0,4527,1167,FALSE
4/22/12,0,935,152,FALSE
2/12/12,0,1808,83,FALSE
3/21/16,0,3529,1580,FALSE
1/16/13,0,2821,420,FALSE
6/7/16,0,1249,1658,FALSE
3/24/14,0,2368,852,FALSE
4/13/16,0,2506,1603,FALSE
2/10/12,0,1418,81,FALSE
4/24/16,0,3282,1614,FALSE
2/5/16,0,6335,1535,FALSE
1/29/14,0,4163,798,FALSE
10/27/14,1,4754,1069,TRUE
4/21/12,0,702,151,FALSE
6/23/12,0,602,213,FALSE
2/24/12,0,1062,94,FALSE
6/5/15,0,2025,1290,FALSE
12/31/15,0,9284,1499,FALSE
4/26/13,0,1021,520,FALSE
3/19/14,0,2362,847,FALSE
5/18/15,0,2309,1272,FALSE
12/21/13,0,4802,759,FALSE
